Timesteps,Eval/Return
10935,-72.86999999999988
20935,-45.000000000000014
30935,-36.00000000000005
40935,-19.00000000000001
50935,-11.999999999999984
60935,-11.999999999999996
70935,-10.99999999999999
80935,-9.999999999999982
90935,-10.99999999999999
100935,-9.999999999999982
110935,-9.999999999999982
120935,-10.99999999999999
130935,-9.999999999999982
140935,-11.99999999999999
150935,-10.99999999999999
160935,-9.999999999999982
170935,-9.999999999999982
180935,-9.999999999999982
190935,-9.999999999999982
200935,-9.999999999999982
210935,-9.999999999999982
220935,-9.999999999999982
230935,-9.999999999999982
240935,-9.999999999999982
250935,-9.999999999999982
260935,-9.999999999999982
270935,-9.999999999999982
280935,-9.999999999999982
290935,-9.999999999999982
300935,-9.999999999999982
310935,-9.999999999999982
320935,-9.999999999999982
330935,-9.999999999999982
340935,-9.999999999999982
350935,-9.999999999999982
360935,-9.999999999999982
370935,-9.999999999999982
380935,-9.999999999999982
390935,-9.999999999999982
400935,-10.999999999999986
410935,-9.999999999999982
420935,-9.999999999999982
430935,-9.999999999999982
440935,-9.999999999999982
450935,-9.999999999999982
460935,-9.999999999999982
470935,-9.999999999999982
480935,-9.999999999999982
490935,-9.999999999999982
500935,-9.999999999999982
