Timesteps,Eval/Return
39951,-26.666666666666757
79951,-3.887500000000001
119927,0.7166666666666556
159779,7.17083333333336
199733,-11.250000000000002
239561,-14.583333333333336
279561,-15.416666666666671
319508,-16.875
359436,-17.916666666666675
399254,-18.333333333333357
439161,-18.333333333333343
479091,-18.333333333333343
518902,-18.958333333333343
558850,-18.75000000000001
598848,-19.58333333333335
638816,-20.20833333333336
678768,-18.75000000000001
718667,-16.66666666666667
758582,-17.916666666666675
798514,-17.500000000000007
838509,-17.91666666666668
878389,-17.08333333333334
918162,-18.333333333333343
957917,-17.500000000000007
997829,-17.91666666666667
1037702,-18.75000000000001
1077558,-15.833333333333336
1117527,-18.333333333333343
1157486,-19.58333333333335
1197396,-19.16666666666668
1237130,-18.333333333333343
1276996,-20.000000000000018
1316806,-20.000000000000018
1356527,-19.58333333333335
1396265,-20.000000000000018
1435958,-20.000000000000018
1475819,-20.000000000000018
1515397,-20.000000000000018
1555283,-20.000000000000018
1594980,-20.000000000000018
1634955,-20.000000000000018
1674862,-20.000000000000018
1714637,-20.000000000000018
1754387,-20.000000000000018
1794200,-19.16666666666668
1834017,-19.58333333333335
1873895,-18.75000000000001
1913583,-19.16666666666668
1953263,-19.16666666666668
1992984,-17.916666666666675
2032707,-18.333333333333343
2072630,-19.16666666666668
2112571,-19.58333333333335
2152366,-18.333333333333343
2192229,-18.333333333333343
2232142,-12.916666666666655
2271898,-8.749999999999984
2311750,-8.333333333333316
2351349,-6.249999999999978
2391062,-11.666666666666655
2430705,-5.416666666666647
2470296,-2.916666666666638
2509729,-4.166666666666644
2549117,-3.333333333333304
2588935,-4.999999999999978
2628663,-2.083333333333305
2668306,-0.8333333333333117
2708073,0.4166666666666969
2747617,0.416666666666694
2787158,1.25000000000003
2826600,-0.4166666666666413
2866057,2.5000000000000284
2905544,3.333333333333352
2945066,2.9166666666666927
2984483,5.000000000000023
3024005,2.083333333333356
3063582,5.833333333333318
3102948,1.2500000000000135
3142599,4.583333333333338
3182286,2.083333333333346
3221771,4.58333333333332
3261057,4.583333333333318
3300841,4.166666666666667
3340597,3.3333333333333344
3380446,5.833333333333297
3420158,3.33333333333333
3459962,3.333333333333324
3499361,4.999999999999982
3538979,4.9999999999999565
3578787,4.583333333333306
3618613,5.416666666666631
3658079,4.999999999999961
3697802,5.416666666666665
3737466,4.166666666666662
3777276,5.416666666666632
3817016,5.416666666666618
3856932,4.166666666666653
3896831,3.12499999999999
3936831,4.5833333333332975
3976747,5.41666666666661
4016747,4.999999999999971
4056702,4.99999999999996
4096592,4.166666666666635
4136519,3.333333333333338
4176356,4.583333333333293
4216356,3.3333333333333184
4256246,3.333333333333312
4296204,1.2499999999999976
4336204,2.0833333333333357
4376150,4.5833333333333
4416150,3.333333333333324
4456150,3.333333333333318
4496150,1.2499999999999991
4536150,3.749999999999974
4576067,3.749999999999982
4616036,3.124999999999988
4655938,4.583333333333321
4695861,6.874999999999957
4735861,7.499999999999962
4775730,9.583333333333256
4815674,9.999999999999886
4855665,9.791666666666544
4895609,9.374999999999888
4935523,9.583333333333227
4975456,10.62499999999986
5015240,10.624999999999874
5055089,11.249999999999858
5095063,17.512499999999886
5134816,17.695833333333223
5174190,27.56666666666653
5212637,19.312499999999904
5251950,27.06666666666656
5289347,27.3124999999999
5327741,49.92999999999988
5365839,18.69583333333324
5404026,49.83999999999988
5441884,73.31499999999988
5479885,26.712499999999867
5518657,37.37916666666654
5556208,38.09166666666654
5593826,52.34999999999989
5632199,27.970833333333207
5670588,28.7458333333332
5709332,41.39166666666655
5747309,50.7349999999999
5785020,35.27083333333323
5822128,51.91249999999989
5858792,48.90499999999991
5895364,89.71999999999986
5931443,102.30499999999988
5968374,101.44999999999986
6006227,49.85499999999988
6043286,55.94499999999988
6079313,91.17999999999986
6114562,73.35999999999987
6149876,58.44999999999989
6188433,36.07083333333319
6226109,99.69499999999988
6262226,62.989999999999895
6298716,50.524999999999885
6334340,80.2349999999999
6370486,81.98499999999986
6406638,27.829166666666527
6445177,8.124999999999872
6483601,45.14999999999986
6520534,69.8699999999999
6556869,65.15499999999986
6593052,35.77916666666656
6629375,62.0049999999999
6666087,36.25833333333324
6702593,76.56999999999988
6738822,99.54499999999987
6773805,106.3349999999999
6807964,95.6999999999999
6842325,156.6799999999999
6875664,95.58499999999988
6908596,113.7699999999999
6942137,178.21499999999992
6968390,168.6949999999999
7001708,124.16499999999992
7033029,210.75999999999996
7061975,223.49999999999997
7085469,178.87499999999994
7111440,210.70499999999996
7133973,191.2
7153743,169.67999999999998
7171687,212.69499999999996
7189010,213.37999999999997
7204295,214.11
7221269,201.83
7235502,193.22
7249817,203.74499999999995
7265372,213.92499999999995
7283706,203.24
7311453,198.61499999999992
7332370,181.58499999999995
7345769,224.7
7359552,203.765
7376366,204.91
7392004,225.325
7403605,194.90476190476187
7414248,225.23999999999995
7425712,225.26
7438967,202.7
7452683,225.30476190476188
7464216,225.35
7475645,225.34499999999997
7487409,191.625
7500008,225.4523809523809
7513359,225.435
7525189,225.47999999999996
7536204,225.44090909090903
7545546,225.45
7555852,225.45
7567633,225.4523809523809
7579402,225.42
7590433,225.25
7602218,225.53
7616159,225.51
7627263,214.23999999999995
7637881,225.48571428571424
7648866,225.39999999999995
7660461,225.465
7669717,225.48
7680827,225.5190476190476
7694083,225.48
7705812,225.495
7716606,225.5045454545454
7727043,225.465
7737532,225.48095238095237
7749736,225.51
7762007,225.45714285714283
7772131,225.49999999999997
7785037,225.46190476190472
7795667,225.48571428571427
7807491,225.4681818181818
7820545,225.48999999999995
7830833,225.48095238095232
7840437,225.505
7849878,225.485
7859623,225.4913043478261
7871061,225.5
7881672,225.47
7891196,225.48
7901210,225.48
7912163,225.32
7921604,225.48095238095237
7930801,225.37
7940357,225.4714285714285
7949915,225.48
7959342,225.49565217391304
7969490,225.495
7979275,225.49523809523808
7989335,225.4285714285714
7999573,225.40909090909088
8009895,225.36
8021286,225.49090909090907
8030612,225.48571428571427
8041570,225.465
8052614,225.44
8062036,225.485
8071778,225.48999999999995
8082274,225.475
8091853,225.48571428571427
8101148,225.49047619047616
8111548,225.37272727272727
8122881,225.50454545454545
8133092,225.50434782608693
8144167,224.985
8153741,225.50869565217383
8164093,225.52272727272728
8173730,225.5
8184160,225.5380952380952
8193516,225.49999999999997
8203662,225.50434782608693
8213332,225.52380952380952
8222744,225.265
8233131,225.49523809523808
8244636,225.49047619047616
8255667,225.485
8268360,225.505
8279237,225.44285714285712
8289810,225.49047619047616
8299323,225.5
8308487,225.49047619047616
