Timesteps,Eval/Return
18502,-75.74687499999993
36880,-71.50312499999995
55033,-51.29375000000002
73259,-50.625000000000014
91692,-41.57187500000001
110011,-29.687500000000025
128412,-24.050000000000036
146899,-22.81250000000003
165002,-23.437500000000032
183624,-17.50000000000001
201772,-15.937500000000012
220078,-12.812499999999996
238778,-13.124999999999998
257162,-12.187499999999996
275645,-12.812499999999996
294170,-10.937499999999988
312630,-12.187499999999991
331026,-13.125
348994,-11.874999999999991
367175,-9.99999999999998
385617,-10.312499999999982
403901,-12.499999999999996
422530,-10.624999999999986
440548,-9.99999999999998
458961,-10.312499999999982
477484,-10.937499999999986
495977,-11.562499999999988
514374,-9.99999999999998
