Timesteps,Eval/Return
39996,-27.083333333333417
79994,-14.375000000000004
119921,4.579166666666679
159889,-0.6249999999999798
199889,-5.416666666666646
239882,-9.791666666666648
279882,-12.499999999999996
319792,-17.08333333333334
359635,-17.916666666666675
399635,-18.333333333333343
439635,-17.08333333333334
479567,-17.08333333333334
519435,-17.916666666666675
559395,-16.666666666666668
599395,-18.333333333333343
639273,-16.250000000000004
679234,-16.25
719085,-17.916666666666675
758924,-18.333333333333343
798924,-15.833333333333334
838844,-18.75000000000001
878844,-19.16666666666668
918753,-18.333333333333343
958594,-17.08333333333334
998517,-16.666666666666675
1038363,-17.083333333333336
1078237,-17.500000000000007
1118065,-18.333333333333343
1157931,-18.75000000000001
1197635,-19.58333333333335
1237321,-17.50000000000001
1277297,-18.333333333333343
1317218,-16.25
1357067,-18.333333333333343
1397014,-16.25
1436542,-17.08333333333334
1476409,-18.333333333333343
1516230,-15.0
1555885,-11.66666666666665
1595508,-14.16666666666666
1635401,-12.499999999999986
1674907,-9.16666666666665
1714722,-7.499999999999974
1754614,-7.499999999999976
1794372,-7.70833333333331
1834111,-4.791666666666645
1873769,-4.374999999999979
1913434,-1.8749999999999805
1953053,-3.3333333333333077
1992867,-2.9166666666666354
2032573,0.2083333333333694
2072226,-0.833333333333301
2111934,-1.666666666666633
2151529,-1.4583333333333022
2190978,-1.2499999999999656
2230366,-2.916666666666643
2270011,0.8333333333333491
2309718,0.6250000000000331
2349027,0.4166666666666932
2388548,3.1250000000000298
2427721,0.4166666666666997
2467408,1.4583333333333652
2506754,2.08333333333337
2546344,3.333333333333356
2586059,1.875000000000024
2625397,2.7415569814337462e-14
2664715,0.4166666666666913
2704049,1.250000000000022
2743639,0.8333333333333615
2783310,3.2464771611747294e-14
2822801,0.8333333333333587
2862354,1.250000000000029
2902088,1.666666666666697
2941745,1.250000000000031
2981356,0.8333333333333636
3020860,2.8585929919463154e-14
3060511,1.25000000000003
3100095,0.8333333333333668
3139864,1.4583333333333557
3179798,2.0502118521411223e-14
3219560,0.8333333333333615
3259372,0.8333333333333619
3299141,0.8333333333333622
3338613,2.8986072801255127e-14
3378375,1.6666666666666865
3418113,0.8333333333333571
3457997,0.4166666666666949
3497725,1.666666666666672
3537255,3.5416666666666607
3577108,3.750000000000013
3616969,1.6666666666666743
3656824,2.9166666666666714
3696357,0.4166666666666885
3736201,0.4166666666666896
3776201,3.3333333333333464
3816076,2.916666666666675
3855920,5.416666666666631
3895827,5.833333333333324
3935700,7.499999999999971
3975665,6.666666666666636
4015644,9.791666666666597
4055264,9.166666666666591
4095058,8.958333333333238
4134323,10.208333333333227
4173977,7.91666666666658
4213853,7.499999999999917
4252876,7.916666666666575
4292440,16.591666666666587
4331961,71.49499999999989
4371151,35.762499999999896
4410771,7.083333333333225
4450090,17.74583333333321
4489227,25.170833333333224
4528008,56.54166666666655
4565565,71.1599999999999
4603776,37.00833333333323
4642754,19.3499999999999
4681106,63.9649999999999
4719655,73.8249999999999
4757651,60.51999999999991
4795524,50.03333333333319
4833617,40.77916666666652
4872067,40.2958333333332
4910766,47.499999999999865
4949164,68.76499999999983
4986746,31.47083333333317
5025556,48.97499999999985
5064272,57.07999999999985
5102124,54.22999999999987
5139580,40.06249999999986
5176800,67.53999999999985
5211162,115.68499999999992
5245812,149.68499999999992
5280080,166.78999999999988
5313407,126.6499999999999
5346016,170.8299999999999
5377180,170.5449999999999
5407481,181.49999999999991
5436729,175.22380952380942
5461671,172.83999999999992
5490055,200.97999999999996
5514478,224.0499999999999
5532728,213.77
5551810,223.465
